City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,kargasok,59.0556,80.8572,14.12,27,56,4.42,RU,1683785836
136,nabire,-3.3667,135.4833,29.35,75,45,2.04,ID,1683785837
137,kodiak,57.79,-152.4072,5.73,93,100,6.17,US,1683785837
138,lyangasovo,58.5176,49.4472,11.93,65,15,3.17,RU,1683785837
139,saipan,15.1355,145.701,29.8,100,12,4.47,MP,1683785837
140,saldanha,-33.0117,17.9442,15.92,80,97,3.16,ZA,1683785838
141,fort bragg,35.139,-79.006,15.45,89,0,1.54,US,1683785838
142,puerto colombia,10.9878,-74.9547,27.05,89,98,4.17,CO,1683785838
143,mannargudi,10.6667,79.4333,34.68,50,96,2.87,IN,1683785838
144,myeik,12.4333,98.6,32.34,58,77,3.92,MM,1683785838
145,coleford,51.8,-2.6,10.23,91,72,0.89,GB,1683785839
146,udachny,66.4167,112.4,-0.86,30,77,6.47,RU,1683785839
147,porec,45.2258,13.5939,13.99,92,100,3.01,HR,1683785839
148,alta,69.9689,23.2717,6.59,93,75,1.03,NO,1683785839
149,el abiodh sidi cheikh,32.893,0.5484,19.68,47,22,2.57,DZ,1683785839
150,acarau,-2.8856,-40.12,25.14,86,9,3.8,BR,1683785839
151,kirakira,-10.4544,161.9205,28.05,82,60,3.4,SB,1683785840
152,blackmans bay,-43.0167,147.3167,14.29,63,25,1.0,AU,1683785840
153,plainview,40.7765,-73.4673,16.92,80,0,2.06,US,1683785840
154,kingston,17.997,-76.7936,27.53,83,20,8.23,JM,1683785840
155,boksitogorsk,59.474,33.8485,15.34,42,61,0.99,RU,1683785840
156,gunjur,13.2019,-16.7339,23.04,88,0,3.09,GM,1683785841
157,yumbe,3.4651,31.2469,21.37,90,78,2.33,UG,1683785841
158,hermanus,-34.4187,19.2345,16.0,90,83,5.44,ZA,1683785841
159,olyokminsk,60.3736,120.4264,4.68,51,100,2.83,RU,1683785841
160,alaghsas,17.0187,8.0168,29.94,20,53,8.23,NE,1683785841
161,lebu,-37.6167,-73.65,11.8,95,79,3.88,CL,1683785841
162,nova vicosa,-17.8919,-39.3719,22.9,81,40,0.88,BR,1683785842
163,stanley,54.868,-1.6985,10.41,90,0,1.03,GB,1683785578
164,linares,-35.85,-71.6,10.59,67,99,1.93,CL,1683785842
165,yeniseysk,58.4497,92.1703,11.66,29,70,3.75,RU,1683785842
166,labrador city,52.9463,-66.9114,-5.05,86,0,2.57,CA,1683785714
167,luganville,-15.5333,167.1667,26.34,84,61,5.07,VU,1683785842
168,crane,31.3974,-102.3501,23.64,65,1,8.21,US,1683785843
169,berea,41.3662,-81.8543,11.97,74,20,1.54,US,1683785843
170,invercargill,-46.4,168.35,8.34,95,99,1.34,NZ,1683785843
